start_dt,date,week,month,dow,dow_group,time,slot_time,slot_key,report_instructor,class_kind,checked_in,membership_checked_in,credit_checked_in,capacity,util,membership_rate,credit_rate,late_cancel,no_show,total_dropout,slot_dropout_baseline,slot_baseline_util,slot_trailing_3m_util,slot_prev_month_util,day_baseline_util,studio_baseline_util,delta_vs_slot,delta_vs_day,delta_vs_studio,delta_vs_trailing_3m,delta_vs_prev_month,slot_expected_riders,slot_lift_riders,slot_lift_util
2025-09-01 17:15:00,2025-09-01,2025-09-01/2025-09-07,2025-09,Monday,MWF,17:15,17:30,MWF | 17:30,Sydney Reed,spin,37,22,15,41,0.9024390243902439,0.5945945945945946,0.40540540540540543,4,2,6,1.8461538461538463,0.474671669793621,0.474671669793621,,0.48493543758967,0.5010697475395808,0.4277673545966229,0.4175035868005739,0.40136927685066315,0.4277673545966229,,19.461538461538463,17.538461538461537,0.4277673545966229
2025-09-02 06:00:00,2025-09-02,2025-09-01/2025-09-07,2025-09,Tuesday,TueThu,06:00,06:00,TueThu | 06:00,Jordyn Toonen,spin,10,8,2,41,0.24390243902439024,0.8,0.2,0,0,0,1.4444444444444444,0.3956639566395664,0.3956639566395664,,0.5312831389183457,0.5010697475395808,-0.15176151761517614,-0.2873806998939554,-0.25716730851519054,-0.15176151761517614,,16.22222222222222,-6.222222222222221,-0.15176151761517614
2025-09-02 07:00:00,2025-09-02,2025-09-01/2025-09-07,2025-09,Tuesday,TueThu,07:00,07:00,TueThu | 07:00,Micayah Coutinho,spinco express,10,7,3,41,0.24390243902439024,0.7,0.3,0,0,0,1.5555555555555556,0.30352303523035234,0.30352303523035234,,0.5312831389183457,0.5010697475395808,-0.059620596205962106,-0.2873806998939554,-0.25716730851519054,-0.059620596205962106,,12.444444444444446,-2.4444444444444464,-0.059620596205962106
2025-09-02 17:30:00,2025-09-02,2025-09-01/2025-09-07,2025-09,Tuesday,TueThu,17:30,17:30,TueThu | 17:30,Rich Ang,spin,11,7,4,41,0.2682926829268293,0.6363636363636364,0.36363636363636365,0,0,0,1.7777777777777777,0.5663956639566395,0.5663956639566395,,0.5312831389183457,0.5010697475395808,-0.29810298102981025,-0.2629904559915164,-0.2327770646127515,-0.29810298102981025,,23.22222222222222,-12.222222222222221,-0.29810298102981025
2025-09-02 18:35:00,2025-09-02,2025-09-01/2025-09-07,2025-09,Tuesday,TueThu,18:35,18:35,TueThu | 18:35,Kira Rothwell,spin,30,16,14,41,0.7317073170731707,0.5333333333333333,0.4666666666666667,1,2,3,1.7777777777777777,0.6178861788617886,0.6178861788617886,,0.5312831389183457,0.5010697475395808,0.11382113821138207,0.20042417815482505,0.23063756953358994,0.11382113821138207,,25.333333333333336,4.666666666666664,0.11382113821138207
2025-09-03 06:00:00,2025-09-03,2025-09-01/2025-09-07,2025-09,Wednesday,MWF,06:00,06:00,MWF | 06:00,Kevin Nanakdewa,spin,18,14,4,41,0.43902439024390244,0.7777777777777778,0.2222222222222222,2,0,2,1.6666666666666667,0.46341463414634143,0.46341463414634143,,0.5213414634146342,0.5010697475395808,-0.02439024390243899,-0.08231707317073172,-0.06204535729567834,-0.02439024390243899,,19.0,-1.0,-0.02439024390243899
2025-09-03 09:30:00,2025-09-03,2025-09-01/2025-09-07,2025-09,Wednesday,MWF,09:30,09:30,MWF | 09:30,Sydney Reed,spin,6,5,1,41,0.14634146341463414,0.8333333333333334,0.16666666666666666,0,0,0,1.5833333333333333,0.42073170731707316,0.42073170731707316,,0.5213414634146342,0.5010697475395808,-0.27439024390243905,-0.375,-0.3547282841249466,-0.27439024390243905,,17.25,-11.25,-0.27439024390243905
2025-09-03 17:30:00,2025-09-03,2025-09-01/2025-09-07,2025-09,Wednesday,MWF,17:30,17:30,MWF | 17:30,Brooke Schidowka,spin,16,11,5,41,0.3902439024390244,0.6875,0.3125,1,0,1,1.8461538461538463,0.474671669793621,0.474671669793621,,0.5213414634146342,0.5010697475395808,-0.08442776735459662,-0.13109756097560976,-0.11082584510055637,-0.08442776735459662,,19.461538461538463,-3.4615384615384635,-0.08442776735459662
2025-09-03 18:35:00,2025-09-03,2025-09-01/2025-09-07,2025-09,Wednesday,MWF,18:35,18:35,MWF | 18:35,Jack Biggar,spin,24,12,12,41,0.5853658536585366,0.5,0.5,1,0,1,2.1666666666666665,0.6971544715447154,0.6971544715447154,,0.5213414634146342,0.5010697475395808,-0.11178861788617889,0.06402439024390238,0.08429610611895577,-0.11178861788617889,,28.583333333333332,-4.583333333333332,-0.11178861788617889
2025-09-04 06:00:00,2025-09-04,2025-09-01/2025-09-07,2025-09,Thursday,TueThu,06:00,06:00,TueThu | 06:00,Madalyn Richards,spin,16,12,4,41,0.3902439024390244,0.75,0.25,0,1,1,1.4444444444444444,0.3956639566395664,0.3956639566395664,,0.48018292682926833,0.5010697475395808,-0.005420054200541979,-0.08993902439024393,-0.11082584510055637,-0.005420054200541979,,16.22222222222222,-0.22222222222222143,-0.005420054200541979
2025-09-04 07:00:00,2025-09-04,2025-09-01/2025-09-07,2025-09,Thursday,TueThu,07:00,07:00,TueThu | 07:00,Micayah Coutinho,spinco express,12,7,5,41,0.2926829268292683,0.5833333333333334,0.4166666666666667,0,0,0,1.5555555555555556,0.30352303523035234,0.30352303523035234,,0.48018292682926833,0.5010697475395808,-0.01084010840108407,-0.18750000000000006,-0.2083868207103125,-0.01084010840108407,,12.444444444444446,-0.4444444444444464,-0.01084010840108407
2025-09-04 17:30:00,2025-09-04,2025-09-01/2025-09-07,2025-09,Thursday,TueThu,17:30,17:30,TueThu | 17:30,Jack Biggar,spin,18,9,9,41,0.43902439024390244,0.5,0.5,2,2,4,1.7777777777777777,0.5663956639566395,0.5663956639566395,,0.48018292682926833,0.5010697475395808,-0.1273712737127371,-0.04115853658536589,-0.06204535729567834,-0.1273712737127371,,23.22222222222222,-5.222222222222221,-0.1273712737127371
2025-09-04 18:35:00,2025-09-04,2025-09-01/2025-09-07,2025-09,Thursday,TueThu,18:35,18:35,TueThu | 18:35,Brooke Schidowka,spin,27,13,14,41,0.6585365853658537,0.48148148148148145,0.5185185185185185,1,0,1,1.7777777777777777,0.6178861788617886,0.6178861788617886,,0.48018292682926833,0.5010697475395808,0.04065040650406504,0.17835365853658536,0.1574668378262729,0.04065040650406504,,25.333333333333336,1.6666666666666643,0.04065040650406504
2025-09-05 06:00:00,2025-09-05,2025-09-01/2025-09-07,2025-09,Friday,MWF,06:00,06:00,MWF | 06:00,Kira Rothwell,spin,19,12,7,41,0.4634146341463415,0.631578947368421,0.3684210526315789,0,0,0,1.6666666666666667,0.46341463414634143,0.46341463414634143,,0.5350609756097561,0.5010697475395808,5.551115123125783e-17,-0.07164634146341459,-0.03765511339323929,5.551115123125783e-17,,19.0,0.0,5.551115123125783e-17
2025-09-05 09:30:00,2025-09-05,2025-09-01/2025-09-07,2025-09,Friday,MWF,09:30,09:30,MWF | 09:30,Sydney Reed,spin,27,15,12,41,0.6585365853658537,0.5555555555555556,0.4444444444444444,0,0,0,1.5833333333333333,0.42073170731707316,0.42073170731707316,,0.5350609756097561,0.5010697475395808,0.23780487804878053,0.12347560975609762,0.1574668378262729,0.23780487804878053,,17.25,9.75,0.23780487804878053
2025-09-05 17:30:00,2025-09-05,2025-09-01/2025-09-07,2025-09,Friday,MWF,17:30,17:30,MWF | 17:30,Rich Ang,spin,9,6,3,41,0.21951219512195122,0.6666666666666666,0.3333333333333333,0,0,0,1.8461538461538463,0.474671669793621,0.474671669793621,,0.5350609756097561,0.5010697475395808,-0.2551594746716698,-0.3155487804878049,-0.2815575524176296,-0.2551594746716698,,19.461538461538463,-10.461538461538463,-0.2551594746716698
2025-09-05 18:35:00,2025-09-05,2025-09-01/2025-09-07,2025-09,Friday,MWF,18:35,18:35,MWF | 18:35,Brooke Schidowka,spin-it-forward,34,0,34,41,0.8292682926829268,0.0,1.0,1,1,2,2.1666666666666665,0.6971544715447154,0.6971544715447154,,0.5350609756097561,0.5010697475395808,0.13211382113821135,0.2942073170731707,0.328198545143346,0.13211382113821135,,28.583333333333332,5.416666666666668,0.13211382113821135
2025-09-06 08:00:00,2025-09-06,2025-09-01/2025-09-07,2025-09,Saturday,Weekend,08:00,08:00,Weekend | 08:00,Jordyn Toonen,spinco express,9,9,0,41,0.21951219512195122,1.0,0.0,0,1,1,1.0,0.2682926829268293,0.2682926829268293,,0.4789356984478936,0.5010697475395808,-0.048780487804878064,-0.25942350332594233,-0.2815575524176296,-0.048780487804878064,,11.0,-2.0,-0.048780487804878064
2025-09-06 09:00:00,2025-09-06,2025-09-01/2025-09-07,2025-09,Saturday,Weekend,09:00,09:00,Weekend | 09:00,Rich Ang,spin,11,5,6,41,0.2682926829268293,0.45454545454545453,0.5454545454545454,0,0,0,0.2857142857142857,0.37979094076655057,0.37979094076655057,,0.4789356984478936,0.5010697475395808,-0.11149825783972128,-0.2106430155210643,-0.2327770646127515,-0.11149825783972128,,15.571428571428573,-4.571428571428573,-0.11149825783972128
2025-09-06 10:15:00,2025-09-06,2025-09-01/2025-09-07,2025-09,Saturday,Weekend,10:15,10:15,Weekend | 10:15,Micayah Coutinho,spin,31,15,16,41,0.7560975609756098,0.4838709677419355,0.5161290322580645,0,0,0,0.875,0.5365853658536586,0.5365853658536586,,0.4789356984478936,0.5010697475395808,0.2195121951219512,0.2771618625277162,0.255027813436029,0.2195121951219512,,22.0,9.0,0.2195121951219512
2025-09-07 09:00:00,2025-09-07,2025-09-01/2025-09-07,2025-09,Sunday,Weekend,09:00,09:00,Weekend | 09:00,Micayah Coutinho,spin,13,6,7,41,0.3170731707317073,0.46153846153846156,0.5384615384615384,0,0,0,0.2857142857142857,0.37979094076655057,0.37979094076655057,,0.45365853658536587,0.5010697475395808,-0.06271777003484325,-0.13658536585365855,-0.18399657680787346,-0.06271777003484325,,15.571428571428573,-2.571428571428573,-0.06271777003484325
2025-09-07 10:15:00,2025-09-07,2025-09-01/2025-09-07,2025-09,Sunday,Weekend,10:15,10:15,Weekend | 10:15,Madalyn Richards,spin,18,10,8,41,0.43902439024390244,0.5555555555555556,0.4444444444444444,0,0,0,0.875,0.5365853658536586,0.5365853658536586,,0.45365853658536587,0.5010697475395808,-0.09756097560975613,-0.014634146341463428,-0.06204535729567834,-0.09756097560975613,,22.0,-4.0,-0.09756097560975613
2025-09-07 11:30:00,2025-09-07,2025-09-01/2025-09-07,2025-09,Sunday,Weekend,11:30,11:30,Weekend | 11:30,Sydney Reed,spin,10,5,5,41,0.24390243902439024,0.5,0.5,4,0,4,2.5,0.5792682926829269,0.5792682926829269,,0.45365853658536587,0.5010697475395808,-0.33536585365853666,-0.20975609756097563,-0.25716730851519054,-0.33536585365853666,,23.750000000000004,-13.750000000000004,-0.33536585365853666
2025-09-07 17:00:00,2025-09-07,2025-09-01/2025-09-07,2025-09,Sunday,Weekend,17:00,17:00,Weekend | 17:00,Keira Else,spin,31,18,13,41,0.7560975609756098,0.5806451612903226,0.41935483870967744,6,2,8,3.0,0.5,0.5,,0.45365853658536587,0.5010697475395808,0.25609756097560976,0.3024390243902439,0.255027813436029,0.25609756097560976,,20.5,10.5,0.25609756097560976
2025-09-08 06:00:00,2025-09-08,2025-09-08/2025-09-14,2025-09,Monday,MWF,06:00,06:00,MWF | 06:00,Brooke Schidowka,spin,18,14,4,41,0.43902439024390244,0.7777777777777778,0.2222222222222222,0,0,0,1.6666666666666667,0.46341463414634143,0.46341463414634143,,0.48493543758967,0.5010697475395808,-0.02439024390243899,-0.045911047345767564,-0.06204535729567834,-0.02439024390243899,,19.0,-1.0,-0.02439024390243899
2025-09-08 09:30:00,2025-09-08,2025-09-08/2025-09-14,2025-09,Monday,MWF,09:30,09:30,MWF | 09:30,Rich Ang,spin,11,7,4,41,0.2682926829268293,0.6363636363636364,0.36363636363636365,0,0,0,1.5833333333333333,0.42073170731707316,0.42073170731707316,,0.48493543758967,0.5010697475395808,-0.15243902439024387,-0.21664275466284072,-0.2327770646127515,-0.15243902439024387,,17.25,-6.25,-0.15243902439024387
2025-09-08 17:30:00,2025-09-08,2025-09-08/2025-09-14,2025-09,Monday,MWF,17:30,17:30,MWF | 17:30,Jordyn Toonen,spin,12,8,4,41,0.2926829268292683,0.6666666666666666,0.3333333333333333,2,2,4,1.8461538461538463,0.474671669793621,0.474671669793621,,0.48493543758967,0.5010697475395808,-0.18198874296435275,-0.19225251076040173,-0.2083868207103125,-0.18198874296435275,,19.461538461538463,-7.4615384615384635,-0.18198874296435275
